,px,py,pz,E,pt,cosphi,mis_e,eta
0,2.0120441888,1.1077891115,-2.0856197964,3.1024713485,2.296849697573137,0.8760016778311337,20.8975286515,-0.814827347382734
1,0.2105921594,-0.024424239488,0.43413465495,0.48313403907,0.21200377608741355,0.9933415493182937,23.51686596093,1.4647963572413083
2,-0.00034099830887,4.1198460881e-05,0.0001041341631,0.00035891654149,0.00034347803398640097,-0.9927805423606822,23.99964108345851,0.29871339926599416
3,1.4412949791e-05,-2.6683672665e-05,0.00015701161622,0.00015991372404,3.032740523966327e-05,0.4752450688445389,23.99984008627596,2.3466144594973484
4,-1.2694859648,-0.59946759104,-2.3926141517,2.7740869644,1.4039074070363358,-0.9042519174963961,21.2259130356,-1.3029750489421728
5,-0.012042564553,0.011103553155,0.0078242107225,0.018152975709,0.01638023973203941,-0.7351885411936306,23.981847024291,0.46114299395840297
6,-3.6411878407e-05,0.0002131456179,0.00092594773912,0.00095086071267,0.00021623339085141073,-0.16839156183801962,23.99904913928733,2.1609696436495645
7,0.00020662330395,2.4986924924e-05,0.0010004295301,0.001021849686,0.00020812865288655403,0.992767219142217,23.998978150314,2.273824067939739
8,0.073797982004,-0.072294323951,-0.4692544939,0.48049182248,0.1033083318198239,0.7143468557086783,23.51950817752,-2.2184768840729805
9,0.25814646545,2.3736524766,-3.2084431151,3.9993715632,2.38764856653856,0.1081174462053442,20.0006284368,-1.1048567911229683
10,0.001531584454,0.00029382048954,0.0034945090251,0.003826705469,0.0015595131996260897,0.9820913695165991,23.996173294531,1.5464025076308363
11,0.0064127380516,-0.00039049304505,-0.0171815158,0.018343396068,0.0064246162637678975,0.99815114060043,23.981656603932,-1.710097289800878
12,-5.272234096e-08,-4.9110636547e-07,-1.4252457081e-06,1.5084065907e-06,4.939282411863647e-07,-0.10674089182138355,23.99999849159341,-1.781613183952392
13,-5.4332983693e-05,-1.749838642e-05,0.00015980524169,0.00016969378868,5.7081228475633254e-05,-0.9518537905362984,23.99983030621132,1.75309809672677
14,-0.18027280848,-0.19690911322,-0.24456548669,0.3620549152,0.2669671971354412,-0.6752620187585882,23.6379450848,-0.8207774342324319
15,-1.2167563e-05,-7.7931000168e-05,7.3321261123e-05,0.00010769075034,7.887515690344955e-05,-0.15426356634566468,23.99989230924966,0.8306970806450852
16,8.8500876635e-09,-1.5095759213e-07,4.719121927e-07,4.9554781434e-07,1.512167936220679e-07,0.05852582541604994,23.999999504452184,1.8559595610431174
17,-0.39182671565,0.52225396808,-0.7328809252,0.98152525836,0.6528992129512576,-0.6001335395686132,23.01847474164,-0.9653992782581723
18,-0.0034470709785,0.003432993407,-0.011257471751,0.012263703041,0.004864950365966997,-0.7085521370606691,23.987736296959,-1.5758445573167705
19,-2.6996301374e-08,-5.679663037e-07,2.0125460235e-06,2.0913287688e-06,5.686075293438494e-07,-0.04747791751043583,23.999997908671233,1.9764964365368531
20,1.3289398977,-1.1012916611,1.5989528677,2.3527802378,1.7259561334249731,0.7699731597829561,21.6472197622,0.8283730664407153
21,-4.7940289578,-1.1462012823,-2.804289238,5.6710254062,4.929147089281382,-0.9725879286955748,18.328974593799998,-0.5419918098591315
22,1.610157139e-07,-7.7613131043e-08,3.615155826e-07,4.0329068263e-07,1.7874523275607812e-07,0.9008112351713881,23.999999596709316,1.4536610423577823
23,-0.21500168865,-0.16064189563,-0.3430213756,0.43554013463,0.26838693104164246,-0.8010885172968452,23.56445986537,-1.0650182875426033
24,7.3587874433e-06,2.2323003336e-06,2.085912188e-05,2.2231461559e-05,7.689923108527186e-06,0.9569390147919689,23.99997776853844,1.723393706719171
25,-0.0063052474673,0.0028389591993,-0.0078421621269,0.010455397734,0.006914899490172157,-0.9118350131135488,23.989544602266,-0.9730892801348082
26,0.001283304047,0.00075080191025,0.0037863872402,0.0040678374007,0.0014867995108559953,0.8631318732820695,23.9959321625993,1.664425727329372
27,0.00067127644189,0.00012821772928,0.0006064205221,0.00091367264223,0.0006834119164444075,0.982242811015727,23.99908632735777,0.7994291277601574
28,0.00040640065071,0.0015731067028,0.001761086704,0.0023960911014,0.00162475419288328,0.2501305443556379,23.9976039088986,0.9394798934790505
29,2.0945816088e-05,6.5162637738e-05,-0.0002011710263,0.00021249630207,6.84463042725182e-05,0.3060182183774959,23.99978750369793,-1.7990125372579364
30,-1.3180372042e-06,1.0893777842e-06,9.7426469346e-06,9.8915689009e-06,1.7099608265582734e-06,-0.7707996485819395,23.9999901084311,2.4408032882435315
31,1.4441269382e-06,9.3300284887e-07,3.6795230443e-07,1.7582337239e-06,1.7193012911163774e-06,0.8399498945657737,23.999998241766278,0.2124117954786746
32,2.4503013271e-05,-0.0033358471434,-0.011953783391,0.012410536407,0.0033359371339683995,0.007345166376637154,23.987589463593,-1.9883661196503608
33,1.0523556254e-05,-5.2726493136e-05,3.1557544148e-05,6.2343459218e-05,5.376642367362514e-05,0.19572728731002206,23.999937656540784,0.5575918945842279
34,-3.3371214838e-08,7.7977882235e-08,1.2724873664e-07,1.5292622102e-07,8.481855986527641e-08,-0.3934423655743032,23.999999847073777,1.1948998715376398
35,0.010745247782,-0.016137381933,-0.10540591638,0.1071740764,0.019387507460942234,0.5542356490976061,23.8928259236,-2.394689442486113
36,-0.20040238228,0.10060580504,0.87838534747,0.90655582369,0.22423791568609835,-0.8937042679282448,23.09344417631,2.074433124686797
37,0.00023987668983,-9.2247619505e-05,-7.5352949429e-05,0.00026782180012,0.00025700282027273026,0.9333620914176892,23.99973217819988,-0.2891527326448633
