,px,py,pz,E,pt,cosphi,mis_e,costheta,eta
0,0.1482887763,0.0098927068618,0.32186740657,0.35452229018,0.14861839329505938,0.997782125161285,23.64547770982,0.9078904641132148,-1.5153874826557427
1,0.02938777876,-0.0081614449849,-0.0099049234631,0.032068025095,0.03050001188013304,0.9635333545277233,23.967931974905,-0.3088722624407688,0.3192982557000927
2,1.1226471689e-07,-9.4053985515e-07,-1.3798780003e-06,1.6737030464e-06,9.47216229687802e-07,0.11852068553238569,23.999998326296954,-0.8244461305534491,1.1705428928130803
3,0.079261807854,0.23439873163,-0.13178350289,0.28034281016,0.24743726391559775,0.3203309259070883,23.71965718984,-0.470079838376405,0.510172816682811
4,3.2353948619e-05,2.3992971145e-05,1.6048400803e-06,4.0311489272e-05,4.0279531472023046e-05,0.8032354756030885,23.999959688510728,0.03981098464190723,-0.03983203700083143
5,-0.19869126496,0.28068227593,0.4663337359,0.57942032414,0.3438906203906259,-0.577774598022785,23.42057967586,0.8048280608591908,-1.1121698499221317
6,-0.023164551387,0.017128647668,-0.064080113139,0.070258436588,0.02880949516904879,-0.8040596078159196,23.929741563412,-0.9120628959447235,1.5396580780720597
7,-1.4820789452e-06,-1.9899041192e-06,-1.3479049787e-06,2.8236721192e-06,2.4811844758933735e-06,-0.5973271877200359,23.99999717632788,-0.4773588865133134,0.5195581077013273
8,-5.0454979349e-06,-1.9397363128e-06,8.9176601695e-06,1.0428052995e-05,5.405518141147535e-06,-0.9333976509102777,23.999989571947005,0.8551606108806509,-1.275050543356924
9,-6.3555946841e-08,-1.197177272e-07,-2.5945465813e-07,2.9272583113e-07,1.3554221698345366e-07,-0.4689014851273873,23.99999970727417,-0.886340153612121,1.4045918098664638
10,-8.1646242958e-06,8.428247122e-06,-1.6139165193e-05,1.9954174816e-05,1.173441261593732e-05,-0.6957846603000014,23.999980045825183,-0.8088114563404054,1.123582586944436
11,5.9232339285e-05,0.00024699888424,0.0012666406931,0.0012918574086,0.0002540018087198953,0.23319652558190812,23.9987081425914,0.9804802640507148,-2.309834299086207
12,3.0543320246e-05,-2.4150766402e-05,-0.00019067174516,0.00019460695859,3.893782132392214e-05,0.7844126663356784,23.99980539304141,-0.9797786602364474,2.2920009294790846
13,0.093454167048,0.059011605385,-0.63512333644,0.64466867723,0.11052624533906166,0.8455382408161102,23.35533132277,-0.9851934162040968,2.4491998471702408
14,1.5153762228e-06,1.3478584168e-06,-2.9806303323e-06,3.6051691481e-06,2.0280748034444385e-06,0.7471993736258238,23.999996394830852,-0.8267657382652502,1.1778287667469969
15,0.0021513215847,0.0023371468873,-0.0084488323005,0.0090262510145,0.003176545314270237,0.6772519740346389,23.9909737489855,-0.9360289545380004,1.704981828624031
16,9.4906996865e-05,7.9276547835e-06,-3.0950249614e-05,0.00010014041999,9.523752287989998e-05,0.99652945598641,23.99989985958001,-0.30906850218014553,0.3195152061119193
17,0.23866025075,0.50009272753,-0.16020870139,0.57681737094,0.5541222350857685,0.43069964646529574,23.42318262906,-0.2777459720551044,0.2852379644997113
18,0.023330188986,0.018208845269,0.015279894779,0.03330668024,0.029594928013983397,0.7883171391725179,23.96669331976,0.458763667495431,-0.4957442628012914
19,-5.6028674119e-05,0.00022824627928,-3.5702242405e-05,0.00023771879699,0.0002350225017497194,-0.23839706284237483,23.99976228120301,-0.15018687145090118,0.15133161426080793
20,0.050489958035,0.17343418313,0.62632083639,0.65184848073,0.1806340270833445,0.27951521011987374,23.34815151927,0.9608380703573755,-1.9567110777227075
21,-1.5193809702e-05,-1.7713598709e-05,5.8668511967e-05,6.3139668425e-05,2.333716847614714e-05,-0.651056263210747,23.999936860331577,0.929186253752488,-1.6524002124578705
22,-1.0798112743e-06,-8.2992941723e-07,-2.0211137439e-06,2.4371450493e-06,1.3619013274423067e-06,-0.7928704176593464,23.99999756285495,-0.8292956319856739,1.1858765264394149
23,-0.00036764972629,0.00034420713071,-0.0011540420062,0.0012591496425,0.0005036316809660835,-0.729997218572036,23.9987408503575,-0.9165249047831104,1.5668602765867197
24,1.4791903996e-05,1.5978430314e-06,-5.8744483005e-05,6.0599239349e-05,1.4877954368120447e-05,0.9942162497618066,23.999939400760653,-0.9693930754919516,2.0821272081434414
25,1.1764695987e-07,1.5333790576e-07,2.442350295e-07,3.114547642e-07,1.9327007142730615e-07,0.6087179406577187,23.999999688545238,0.7841749671973712,-1.0561216690026924
26,3.925899204e-08,5.9533554805e-09,-1.7150564898e-07,1.7604232028e-07,3.9707819097426927e-08,0.9886967587838131,23.99999982395768,-0.97422965516028,2.1693545736057107
27,0.14662044305,-0.20546219408,0.40482442788,0.47706926638,0.25241289094724517,0.5808754160683655,23.52293073362,0.8485653057297243,-1.2510053178492797
28,0.099676485998,-0.40644835876,0.011729848303,0.41865649349,0.41849213875484825,0.2381800678372844,23.58134350651,0.028017834395013815,-0.028025169174407515
29,1.6113306138e-07,-1.5152504803e-07,-1.1701632783e-06,1.1908844613e-06,2.2118703318726588e-07,0.7284923490229115,23.99999880911554,-0.9826001735068571,2.3678521233006444
30,-0.00012834816251,0.0003184913528,-0.0019461322146,0.0019761934595,0.0003433802449589484,-0.3737785280144587,23.9980238065405,-0.9847883086772256,2.4356016218819554
31,-0.00066582382277,-9.231561787e-05,-0.00014385685278,0.00068741423491,0.0006721930796064299,-0.990524661693692,23.99931258576509,-0.20927243789013844,0.21241034020683008
32,-0.00027313206143,-0.00024484416072,-0.00037124456818,0.00052189301147,0.00036681028614214526,-0.7446139646262718,23.99947810698853,-0.7113422866773533,0.889895850666802
